Estampa_Tiempo,DiaHora1,DiaHora2,Agregacion,Id_Empresa,Edificio,Id_Medidor,Id_Sistema,Tension_Fase_L1,Corriente_L1,Potencia_Real_L1,Potencia_Reactiva_L1,Factor_de_Potencia_L1_P,Factor_de_Potencia_L1_N,FP_IND_L1,Tension_Fase_L2,Corriente_L2,Potencia_Real_L2,Potencia_Reactiva_L2,Factor_de_Potencia_L2_P,Factor_de_Potencia_L2_N,FP_IND_L2,Tension_Fase_L3,Corriente_L3,Desbalance_Corriente,Potencia_Real_L3,Potencia_Reactiva_L3,Factor_de_Potencia_L3_P,Factor_de_Potencia_L3_N,FP_IND_L3,Potencia_Activa_III,Potencia_Inductiva_III,Cos_Phi_III_P,Cos_Phi_III_N,Potencia_Capacitiva_III,Factor_de_Potencia_III_P,Factor_de_Potencia_III_N,FP_IND_III,Frecuencia,Tension_Linea_L1_L2,Tension_Linea_L2_L3,Tension_Linea_L3_L1,Tension_Linea_LL_Promedio,THD_V_L1,THD_V_L2,THD_V_L3,THD_A_L1,THD_A_L2,THD_A_L3,Potencia_Aparente_III,Corriente_trifasica_media,Corriente_de_Neutro,Potencia_Aparente_L1,Potencia_Aparente_L2,Potencia_Aparente_L3,Potencia_Reactiva_III,THD_V_L1_L2,THD_V_L2_L3,THD_V_L3_L1,Energia_Activa_Export,Energia_Activa_Import,Energia_Reactiva_Inductiva_Import,Energia_Reactiva_Capacitiva_Export,Energia_Reactiva_Inductiva_Export,Energia_Reactiva_Capacitiva_Import,Energia_Reactiva_Inductiva,Energia_Reactiva_Capacitiva,Energia_Reactiva_Import,Energia_Reactiva_Export,Energia_Aparente,Desconexiones,PST_L1,PST_L2,PST_L3,PLT_L1,PLT_L2,PLT_L3,Desbalance_Tension,Importe
2025-05-12 09:04,2025-05-12 09:04,2025-05-12 09:04,0,1,1,4,2,128.632,96.7211,12192.2,-2363.35,0,0,-0.977457,128.899,104.364,13283,-1972.6,0,0,-0.987403,129.49,102.706,4.48579,12840.9,-3305.46,0,0,-0.965529,38284.8,0,0,0,0,0,0,-0.980358,59.9874,222.684,224.144,223.511,223.446,0.0157862,0.0135849,0.0101116,0.0856505,0.0541418,0.0720321,39051.8,101.264,12.1379,12441.4,13452.4,13299.3,-7641.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374317,0
2025-05-12 09:04,2025-05-12 09:04,2025-05-12 09:04,0,1,1,4,4,278.825,12.7344,3336.02,960.511,0,0,0.938593,280.354,13.0325,3423.83,1019.09,0,0,0.936094,279.661,12.5677,1.99007,3290.65,996.661,0,0,0.935474,10048.4,0,0,0,0,0,0,0.957097,59.9936,484.229,485.679,483.006,484.305,0.0167218,0.0106194,0.0149811,0.185326,0.198975,0.189326,10489.1,12.7782,0,3550.67,3653.71,3514.71,2976.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281903,0
2025-05-12 09:04,2025-05-12 09:04,2025-05-12 09:04,0,1,1,4,5,278.92,21.0046,5040.04,3718.39,0,0,0.861135,280.548,17.2008,4669.71,1472.18,0,0,0.967686,279.786,25.9937,21.4677,7061.92,1790.51,0,0,0.971021,16776.7,0,0,0,0,0,0,0.973921,60.0009,484.47,485.896,483.257,484.541,0.0167158,0.010254,0.0149633,0.140013,0.13996,0.135028,17225.9,21.3997,14.81,5858.59,4825.65,7272.67,6981.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29708,0
2025-05-12 09:04,2025-05-12 09:04,2025-05-12 09:04,0,1,1,4,3,280.721,42.0297,9056,-7467.89,0,0,-0.766871,281.991,35.4491,8390.88,-5321.19,0,0,-0.836659,281.465,33.8969,13.2107,6768.17,-6615.59,0,0,-0.708729,24218.1,0,0,0,0,0,0,-0.78163,59.986,487.276,488.634,486.243,487.384,0.0163552,0.0105179,0.0143153,0.10163,0.102133,0.118092,30947.5,37.1252,0.0407394,11798.6,9996.31,9540.77,-19404.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238595,0
2025-05-12 09:05,2025-05-12 09:05,2025-05-12 09:05,0,1,1,4,2,128.581,90.9363,11424.1,-2349.47,0,0,-0.971788,128.804,97.7739,12410.1,-1969.97,0,0,-0.982908,129.404,96.0627,4.20126,11965.7,-3218,0,0,-0.957095,35790.9,0,0,0,0,0,0,-0.976573,59.9681,222.559,223.959,223.42,223.312,0.015912,0.0137661,0.0100398,0.0882388,0.0592863,0.0822053,36568.9,94.9243,11.2536,11692.7,12593.6,12430.9,-7537.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367831,0
2025-05-12 09:05,2025-05-12 09:05,2025-05-12 09:05,0,1,1,4,5,278.56,32.5584,8352.02,2994.48,0,0,0.921967,280.198,29.0564,7956.4,786.487,0,0,0.97982,279.403,38.5227,15.4095,10514,1136.89,0,0,0.979425,26814.2,0,0,0,0,0,0,0.978896,59.9756,483.874,485.259,482.597,483.91,0.0163912,0.00992491,0.0151515,0.144701,0.156762,0.16265,27402.2,33.3792,14.9421,9069.48,8141.53,10763.4,4917.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295927,0
2025-05-12 09:05,2025-05-12 09:05,2025-05-12 09:05,0,1,1,4,4,278.714,12.6826,3320.04,914.288,0,0,0.940574,280.259,12.9841,3415.42,976.456,0,0,0.93795,279.514,12.5766,1.85415,3297.35,953.513,0,0,0.937653,10039.4,0,0,0,0,0,0,0.959711,59.974,484.075,485.464,482.764,484.101,0.0166218,0.0103613,0.0150796,0.184997,0.197772,0.188565,10459.5,12.7478,0,3534.83,3638.92,3515.33,2844.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279609,0
2025-05-12 09:05,2025-05-12 09:05,2025-05-12 09:05,0,1,1,4,3,280.713,42.8864,9248.17,-7593.54,0,0,-0.769695,281.966,35.9648,8520.55,-5362.46,0,0,-0.84022,281.394,34.4759,13.5291,6989.97,-6639.98,0,0,-0.720518,24776.7,0,0,0,0,0,0,-0.787648,59.9691,487.279,488.529,486.166,487.325,0.0162737,0.0102732,0.0144086,0.101028,0.101135,0.117889,31456.5,37.7757,0.0411009,12038.8,10140.9,9701.32,-19596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229263,0
2025-05-12 09:06,2025-05-12 09:06,2025-05-12 09:06,0,1,1,4,2,128.64,81.7086,10144.1,-2481.76,0,0,-0.965709,128.944,83.8687,10560.9,-2184.4,0,0,-0.976557,129.449,84.3661,1.92751,10496.2,-2781.33,0,0,-0.961095,31207.7,0,0,0,0,0,0,-0.971841,59.9923,222.728,224.143,223.49,223.454,0.0156803,0.013666,0.00982099,0.0987278,0.0617776,0.0957879,32111.9,83.3145,9.72725,10511,10814.4,10921.1,-7447.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339248,0
2025-05-12 09:06,2025-05-12 09:06,2025-05-12 09:06,0,1,1,4,4,278.733,12.6727,3320.04,916.087,0,0,0.940068,280.154,12.9812,3416.34,974.388,0,0,0.939396,279.556,12.5456,1.94818,3289.86,950.7,0,0,0.938032,10026.8,0,0,0,0,0,0,0.960894,59.9806,483.952,485.379,482.896,484.076,0.0163748,0.0101176,0.0149945,0.185296,0.197282,0.188961,10434.9,12.7332,0,3532.3,3636.74,3507.2,2841.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267557,0
